date,daily_number_of_reviews,daily_average_rating
2021-07-08,1,5.0
2022-09-17,1,1.0
2022-09-25,1,1.0
2022-10-03,1,1.0
2022-11-28,1,3.0
2023-01-22,1,5.0
2023-01-25,1,3.0
2023-02-15,1,1.0
2023-09-04,1,5.0
2023-09-07,1,1.0
2023-09-11,1,5.0
2023-09-12,1,5.0
2023-09-23,1,1.0
2023-09-30,1,1.0
2023-10-08,1,5.0
2023-10-10,1,4.0
2023-11-01,1,5.0
2023-11-08,1,3.0
2023-11-13,2,5.0
2023-11-14,9,5.0
2023-11-15,5,5.0
2023-11-20,1,5.0
2023-12-08,1,5.0
2023-12-31,1,5.0
2024-01-08,1,1.0
2024-01-13,1,5.0
2024-01-23,1,5.0
2024-01-25,1,3.0
2024-02-14,1,1.0
2024-02-17,1,4.0
2024-02-29,1,1.0
2024-03-11,1,5.0
2024-03-20,1,5.0
2024-03-22,1,3.0
2024-03-27,2,4.0
2024-04-15,1,5.0
2024-04-20,1,5.0
2024-05-04,1,5.0
2024-05-05,2,5.0
2024-05-06,2,3.0
2024-05-07,2,1.5
2024-05-08,1,5.0
2024-05-09,2,4.5
2024-05-11,1,1.0
2024-05-12,1,5.0
2024-05-13,1,2.0
2024-05-14,2,1.0
2024-05-15,2,5.0
2024-05-16,2,3.0
2024-05-19,2,3.0
2024-05-20,2,5.0
2024-05-21,5,5.0
2024-05-22,1,5.0
2024-05-23,2,4.5
2024-05-24,4,4.0
2024-05-25,3,5.0
2024-05-26,2,5.0
2024-05-27,1,5.0
2024-05-28,5,5.0
2024-05-31,3,5.0
2024-06-01,2,4.5
2024-06-02,3,5.0
2024-06-03,4,4.75
2024-06-04,4,3.75
2024-06-05,6,4.333
2024-06-06,3,3.667
2024-06-07,1,5.0
2024-06-08,2,5.0
2024-06-09,1,1.0
2024-06-10,5,4.8
2024-06-11,4,4.0
2024-06-12,1,5.0
2024-06-14,2,3.0
2024-06-15,2,4.0
2024-06-16,1,5.0
2024-06-17,1,1.0
2024-06-18,1,5.0
